"(M, N)",RMSE,[Coefficients],[Predicted Values]
"(0, 1)",653.5740062682895,[0.15786320009741714],"[1838.3229593711692, 1759.3913593224606, 1743.6050393127189, 1775.1776793322024, 1775.1776793322024, 1854.109279380911, 1838.3229593711692, 1838.3229593711692, 1885.6819194003945, 2154.0493595660037, 1759.3913593224606, 1822.5366393614274, 1743.6050393127189, 1743.6050393127189, 1775.1776793322024, 1775.1776793322024, 1917.2545594198778, 1759.3913593224606, 1743.6050393127189, 1822.5366393614274, 1790.9639993419441, 1743.6050393127189, 1759.3913593224606, 1759.3913593224606]"
"(0, 2)",644.8962142772208,"[0.16641773678758084, 0.04576509162252415]","[1795.4345932155602, 1707.6492156595175, 1700.1604603052642, 1733.4440076627802, 1756.3265534740424, 1834.9589127055804, 1818.3171390268224, 1832.0466665135796, 1959.7726433081448, 2128.270066790722, 1730.5317614707794, 1774.2163103745497, 1691.0074419807593, 1700.1604603052642, 1733.4440076627802, 1774.632590123052, 1878.6434616093507, 1707.6492156595175, 1713.8899877920214, 1787.945837861307, 1740.9327630170335, 1695.5839511430117, 1712.2257248217697]"
"(0, 3)",642.5807607468793,"[0.1532887297608325, 0.09885463088227534, 0.02268332135642504]","[1740.9175118331268, 1658.9243481357682, 1663.36640133614, 1705.365807966519, 1752.5247912720142, 1819.283693064203, 1810.7598164950473, 1878.9778520656523, 2036.3090401027075, 2058.8366320330047, 1703.8149993056209, 1715.7031757688162, 1643.5954751596848, 1663.36640133614, 1714.439136509089, 1780.7249829467119, 1817.5618767135431, 1665.7293445426958, 1695.291122736465, 1745.3595650334987, 1687.3137619522922, 1651.21260611227]"
"(0, 4)",645.632984884785,"[0.11060958987853507, 0.11262523746988559, 0.07738953589438767, 0.02875388891514016]","[1676.6620076078236, 1625.572596100445, 1651.4136290641386, 1709.3549260955256, 1757.9285912410296, 1810.5970291078506, 1871.6345420440516, 1965.099602017626, 2007.7730985100789, 1930.8251775290596, 1660.6565298734822, 1654.3385248729815, 1614.5116371125914, 1662.9151846301947, 1725.9337959957106, 1747.0315849327058, 1740.5929692216332, 1651.6648457602753, 1672.8124316539452, 1685.2507072224332, 1637.0801715951993]"
"(0, 5)",628.1544735635603,"[0.19568744636614066, 0.05788736338964262, 0.11709090737867663, 0.0863781212347865, 0.018955713206567068]","[1616.4642836428716, 1545.727862199856, 1579.0300795379069, 1668.0752103769946, 1690.9965152959185, 1841.1896509616245, 1956.2017016213326, 1964.2594353776365, 1853.7203104938105, 2045.3178631762207, 1524.499881568701, 1591.1068026672933, 1533.7414028458686, 1604.103471428538, 1660.3490847871317, 1596.1968489389385, 1742.1170145170345, 1576.2239472923407, 1538.1628378250332, 1597.9396282400508]"
"(0, 6)",609.9468606927945,"[0.19389353581599114, 0.13744693584431955, 0.06304897420048963, 0.12336221165161858, 0.07230408076318826, 0.026227124830470815]","[1542.1413122063552, 1477.5889734525726, 1540.1397047893279, 1605.9748153367502, 1734.670722279618, 1912.23058531991, 1951.2023318304273, 1807.022209485549, 1954.4204699435186, 1909.2060500403854, 1462.3873138905283, 1519.4981149725124, 1474.0076897610134, 1537.5962741700987, 1515.6400008010355, 1594.8636631107715, 1664.9681643048257, 1445.1134679284141, 1452.0595320097102]"
"(0, 7)",599.1441278116557,"[0.1773811994593765, 0.14841972080750374, 0.13005886988853818, 0.06985458683443105, 0.10235551204348345, 0.07140470433824088, 0.03975685880056001]","[1482.0188914684034, 1448.53537922359, 1497.1000032921884, 1679.628290707314, 1793.5347681088665, 1899.7351249566773, 1792.5621358221415, 1888.791516437103, 1853.8876773984694, 1815.7636098664982, 1422.90133992599, 1458.1222517767317, 1412.1829966455894, 1415.1185158810504, 1515.3085810428393, 1536.8117587115369, 1532.0396960157207, 1367.3088588737558]"
"(1, 0)",273.7691693966839,[1.0100150585140086],"[2314.01688999992, 2161.504616164304, 2125.1440740578, 1919.1010021209422, 2032.2226886745111, 2013.032402562745, 1937.2812731741942, 1835.2697522642795, 1598.9262285720015, 1643.366891146618, 1452.4740450874701, 1345.4124488849852, 1241.3808978580423, 1182.8000244642299, 1201.9903105759959, 1133.3092865970434, 1070.688352969175, 1021.1976151019885, 1024.2276602775305, 1033.3177958041565, 1146.4394823577254, 1208.05040092708, 1168.6598136450339]"
"(1, 1)",249.45948182600517,"[0.05028235969530573, 0.9846921318856617]","[2255.9467225819935, 2102.229974697728, 2076.837529888905, 1875.9603349842303, 2011.3870336030773, 1987.649647127719, 1913.7977372362943, 1829.4285398244342, 1684.4905924452091, 1602.111147009914, 1436.1172779616463, 1306.598732134113, 1205.17544254989, 1158.1197708395828, 1176.8289213454104, 1155.1239801029606, 1043.7907082307438, 990.5125577988158, 1018.6078140421256, 1017.4135712900354, 1112.614382152638, 1177.7088381671938, 1139.305845023653]"
"(1, 2)",248.92390435729124,"[0.08861331676261688, -0.00734757615977967, 0.9694575194833098]","[2267.8573067528446, 2077.897320545534, 2032.6660029359175, 1852.6193323138455, 1957.5247864160865, 1984.1465095431902, 1902.57586390568, 1802.4563815899319, 1589.696437587997, 1801.3641473411606, 1393.664353788361, 1330.0209715080666, 1185.8601886199774, 1128.1621372579893, 1164.3044934806958, 1091.768563612029, 1118.7617586501985, 983.3797810488775, 973.7530338511758, 1028.2543251397901, 1121.3151768173311, 1153.1333328610501, 1124.1858212774628]"
"(1, 3)",237.8764701520169,"[0.06984280372753505, 0.057437748589119916, -0.016742847131800097, 0.9595695767738729]","[2088.4910293999874, 2009.932778487088, 1818.6838541702884, 1931.7527839485692, 1943.9141209976056, 1901.1240297444208, 1792.2003679779662, 1556.4295714655555, 1759.1047643928705, 1546.1873703938984, 1301.2125089385781, 1201.5950897273233, 1107.6700829843112, 1137.389454660839, 1071.0387217671023, 1079.9822288691303, 1040.0583790860521, 958.9790856640267, 992.698375203158, 1128.6268740873152, 1154.2864482350985, 1101.6541684815688]"
"(1, 4)",228.91374642854186,"[0.04475023913958559, 0.05194049276541701, 0.04909050967181301, -0.013299890395699222, 0.9550679978393547]","[2014.8674872535971, 1802.2825487823968, 1908.51329398168, 1925.1922937261256, 1874.6233893037013, 1791.3526246964677, 1555.5090285169554, 1729.8177606828422, 1522.9875881964767, 1394.2607041158328, 1180.2440447596757, 1114.1199720789791, 1119.7092464024963, 1053.1828197463747, 1060.4000008085825, 1012.5875917710864, 992.2285220597836, 978.0850785392568, 1100.7197819503617, 1154.908808894158, 1098.038012288062]"
"(1, 5)",213.79249659489625,"[0.02675579774786918, 0.03249737363695904, 0.052246555420967705, 0.05251970056816684, -0.014252865979670008, 0.9521380732086662]","[1799.7280300865812, 1893.06273614268, 1906.4811445863704, 1861.2932562989618, 1771.875482387368, 1550.72937277179, 1730.5374907595333, 1512.1513534175429, 1372.014916829298, 1232.8248892520892, 1094.7364851846792, 1117.7846809699454, 1037.283124820312, 1046.2706354997867, 1000.894515370807, 968.3736073960767, 992.4114623289986, 1088.9405888075557, 1132.9636104643662, 1092.2866531862974]"
