YEAR,WEEK,TWEETS,ILICASES,ILIPER100K
2012,40,82494,1142,1384
2012,41,79938,1167,1459
2012,42,85981,1310,1523
2012,43,80822,1267,1567
2012,44,81557,1297,1590
2012,45,84565,1413,1670
2012,46,78668,1364,1733
2012,47,60145,1108,1842
2012,48,85512,1481,1731
2012,49,85434,1509,1766
2012,50,81938,1667,2034
2012,51,71168,1808,2540
2012,52,53617,1755,3273
2013,1,63312,1852,2925
2013,2,85698,2651,3093
2013,3,90604,3703,4087
2013,4,83583,4245,5078
2013,5,87984,4001,4547
2013,6,75074,3282,4371
2013,7,73018,2929,4011
2013,8,69443,2329,3353
2013,9,65968,2087,3163
2013,10,64767,2004,3094
2013,11,60808,1695,2787
2013,12,56027,1388,2477
2013,13,55257,1196,2164
2013,14,54895,1022,1861
2013,15,61169,1013,1656
2013,16,56618,852,1504
2013,17,60128,884,1470
2013,18,57314,857,1495
2013,19,55730,768,1378
2013,20,53194,776,1458
2013,21,51766,656,1267
2013,22,45389,562,1238
2013,23,49999,628,1256
2013,24,44604,578,1295
2013,25,46004,565,1228
2013,26,45144,492,1089
2013,27,38151,394,1032
2013,28,44084,407,923
2013,29,43746,414,946
2013,30,44397,444,1000
2013,31,43290,406,937
2013,32,42089,419,995
2013,33,43930,430,978
2013,34,45893,390,849
2013,35,45139,537,1189
2013,36,37503,486,1295
2013,37,44135,583,1320
2013,38,42761,576,1347
2013,39,39986,644,1610
2013,40,87538,972,1110
2013,41,89122,1192,1337
2013,42,85648,1140,1331
2013,43,89959,1154,1282
2013,44,89120,1302,1460
2013,45,90752,1524,1679
2013,46,85397,1381,1617
2013,47,89509,1484,1657
2013,48,62686,1222,1949
2013,49,88253,1621,1836
2013,50,84826,1773,2090
2013,51,82835,2127,2567
2013,52,58333,2161,3704
2014,1,67849,2536,3737
2014,2,90477,3129,3458
2014,3,92034,3298,3583
2014,4,86587,3333,3849
2014,5,93786,3226,3439
2014,6,90576,2810,3102
2014,7,89434,2437,2724
2014,8,82879,2069,2496
2014,9,87352,2064,2362
2014,10,83343,1754,2104
2014,11,81074,1492,1840
2014,12,80009,1452,1814
2014,13,79003,1193,1510
2014,14,71389,1094,1532
2014,15,74505,1125,1509
2014,16,70835,1123,1585
2014,17,71038,1010,1421
2014,18,69113,1012,1464
2014,19,68091,1001,1470
2014,20,67315,1022,1518
2014,21,65705,1013,1541
2014,22,58104,856,1473
2014,23,60237,829,1376
2014,24,59348,796,1341
2014,25,58235,684,1174
2014,26,62404,717,1148
2014,27,52982,620,1170
2014,28,61892,619,1000
2014,29,60341,622,1030
2014,30,59617,542,909
2014,31,60721,510,839
2014,32,59120,445,752
2014,33,58714,457,778
2014,34,62115,505,813
2014,35,62301,624,1001
2014,36,55341,618,1116
2014,37,64318,811,1260
2014,38,64708,867,1339
2014,39,59431,786,1322
2014,40,88772,1329,1497
2014,41,89381,1380,1543
2014,42,92669,1365,1472
2014,43,94908,1344,1416
2014,44,89098,1303,1462
2014,45,92126,1591,1726
2014,46,84771,1422,1677
2014,47,93339,1720,1842
2014,48,64249,1399,2177
2014,49,93190,1810,1942
2014,50,88551,1896,2141
2014,51,82565,2030,2458
2014,52,49507,1903,3843
2014,53,56302,2457,4363
